string_field_0,string_field_1
Monrovia,Los Angeles
Montebello,Los Angeles
Monterey Park,Los Angeles
Norwalk,Los Angeles
Palmdale,Los Angeles
Palos Verdes Estates,Los Angeles
Paramount,Los Angeles
Pasadena,Los Angeles
Pico Rivera,Los Angeles
Pomona,Los Angeles
Rancho Palos Verdes,Los Angeles
Redondo Beach,Los Angeles
Rolling Hills,Los Angeles
Rolling Hills Estates,Los Angeles
Rosemead,Los Angeles
San Dimas,Los Angeles
San Fernando,Los Angeles
San Gabriel,Los Angeles
San Marino,Los Angeles
Santa Clarita,Los Angeles
Santa Fe Springs,Los Angeles
Santa Monica,Los Angeles
Sierra Madre,Los Angeles
Signal Hill,Los Angeles
South El Monte,Los Angeles
South Gate,Los Angeles
South Pasadena,Los Angeles
Temple City,Los Angeles
Torrance,Los Angeles
Vernon,Los Angeles
Walnut,Los Angeles
West Covina,Los Angeles
West Hollywood,Los Angeles
Westlake Village,Los Angeles
Whittier,Los Angeles
Escalon,San Joaquin
Lathrop,San Joaquin
Lodi,San Joaquin
Manteca,San Joaquin
Ripon,San Joaquin
Stockton,San Joaquin
Tracy,San Joaquin
Campbell,Santa Clara
Cupertino,Santa Clara
Gilroy,Santa Clara
Los Altos,Santa Clara
Los Altos Hills,Santa Clara
Los Gatos,Santa Clara
Milpitas,Santa Clara
Monte Sereno,Santa Clara
Morgan Hill,Santa Clara
Mountain View,Santa Clara
Palo Alto,Santa Clara
San Jose,Santa Clara
Santa Clara,Santa Clara
Saratoga,Santa Clara
Sunnyvale,Santa Clara
Antioch,Contra Costa
Brentwood,Contra Costa
Clayton,Contra Costa
Concord,Contra Costa
Danville,Contra Costa
El Cerrito,Contra Costa
Hercules,Contra Costa
Lafayette,Contra Costa
Martinez,Contra Costa
Moraga,Contra Costa
Oakley,Contra Costa
Orinda,Contra Costa
Pinole,Contra Costa
Pittsburg,Contra Costa
Pleasant Hill,Contra Costa
Richmond,Contra Costa
San Pablo,Contra Costa
San Ramon,Contra Costa
Walnut Creek,Contra Costa
San Francisco,San Francisco
Buellton,Santa Barbara
Carpinteria,Santa Barbara
Goleta,Santa Barbara
Guadalupe,Santa Barbara
Lompoc,Santa Barbara
Santa Barbara,Santa Barbara
Santa Maria,Santa Barbara
Solvang,Santa Barbara
Adelanto,San Bernardino
Apple Valley,San Bernardino
Barstow,San Bernardino
Big Bear Lake,San Bernardino
Chino,San Bernardino
Chino Hills,San Bernardino
Colton,San Bernardino
Fontana,San Bernardino
Grand Terrace,San Bernardino
Hesperia,San Bernardino
Highland,San Bernardino
Loma Linda,San Bernardino
Montclair,San Bernardino
Needles,San Bernardino
Ontario,San Bernardino
Rancho Cucamonga,San Bernardino
Redlands,San Bernardino
Rialto,San Bernardino
San Bernardino,San Bernardino
Twentynine Palms,San Bernardino
Upland,San Bernardino
Victorville,San Bernardino
Yucaipa,San Bernardino
Yucca Valley,San Bernardino
Arroyo Grande,San Luis Obispo
Atascadero,San Luis Obispo
Grover Beach,San Luis Obispo
Morro Bay,San Luis Obispo
Paso Robles,San Luis Obispo
Pismo Beach,San Luis Obispo
San Luis Obispo,San Luis Obispo
